INSERT
aaronic 亚伦的
berry 浆果
bersagliere 狙击兵
beseeching 恳求似的
beseechingly 恳求地
beseem 适合于
beset 困扰
besiege 围困
besmear 涂弄脏
besmirch 弄污
bespatter 溅污
bespattered 溅污的
bespeak 预订
bespectacled 带眼镜的
besprent 撒满的
besprinkle 洒布满
bessie 贝茜
bestraddle 跨
bestride 骑
bethink 想起
betoken 预示
betroth 许配
betterment 改良
betting 打赌
bettor 打赌者
betty 贝蒂
betweenmaid 女佣
betweenness 中间状态
beverage 饮料
bewigged 戴假发的
bewitchingly 迷人地
biangular 双角的
biannually 每半年地
biathlon 两项竞赛
biaxial 二轴的
biblical 圣经的
bibliographize 作书目
bibliokleptomania 盗书癖
bibliopole 书籍商
bicephalous 两头的
bichrome 双色的
bickiron 砧砧子
bicolor 二色的
bicolour 二色的
biconcave 两面凹的
biconvex 两面凸的
bicorne 双角帽
bicron 毫微米
bicrural 双腿的
bidden 出价
bidentate 有二齿的
biennium 二年期间
bifacial 有两面的
bifocal 双焦点的
biforked 分叉的
bifurcation 分歧
bigamist 重婚者
bigarade 酸橙
bighead 自大
bight 曲线
bilestone 胆石
bilge 舱底
bilievable 可信的
bilinear 双线性的
bilker 骗子
billfold 皮夹
billhook 钩镰
billiken 福神
billionaire 亿万富翁
bimanous 有两手的
bindlestiff 流浪者
bindwood 常春藤
bine 蔓藤
bingy 肚子
binnacle 罗盘箱
biochemistry 生物化学
biochip 生物芯片
biocoenosis 生物群落
bioelectric 生物电的
bioelectrical 生物电的
bioelectricity 生物电
biofeedback 生物反馈
biogenesis 生源论
biographer 传记作者
biographical 传记的
biographically 传记体地
biography 传记
biohazard 生物危害
bioinstrumentation 生物仪器
biological 生物学的
biologically 生物学上
biologist 生物学家
biomaterial 生物材料
biomathcmatics 生物数学
biomathematics 生物数学
biomedicine 生物医学
biometry 寿命测定
bionomics 生态学
bioplasm 原生质
biosatellite 生物卫星
bioscience 生物科学
bioscope 放映机
biosphere 生物圈
biosynthesis 生物合成
biothythm 生物节律
biotransformation 生物转化
bipartite 双向的
birdcage 鸟笼
birder 猎鸟者
birdie 小鸟
birdlime 粘鸟胶
birdseed 鸟饵
birdwoman 女飞行家
bireme 古代船
biretta 四角帽
birthday 生日
birthplace 诞生地
birthrate 出生率
birthstone 诞生石
bise 寒风
bisectrix 等分线
bishop 主教
bisk 浓汤
bismillah 真主啊!
bismuth [化]铋
bistoury 手术刀
bisynchronous 双同步
bitten 咬
bitumen 沥青
bituminous 含沥青的
bivalve 双壳类
bizzard 大风雪
blabber 多嘴的人
blabbermouth 长舌者
blackbeetle 蟑螂
blackberry 黑莓
blackbird 山鸟类
blackboard 黑板
blackcurrant 黑醋栗
blackdamp 窒息瓦斯
blackface 扮演黑人
blackfellow 澳洲土人
blackfish 黑鲸
blackguard 流氓
blackhead 黑头粉刺
blackie 黑人
blackish 带黑色的
blackmarket 黑市
bladesmith 刀匠
blaff 烩鱼汤
blancmange 牛奶冻
blandiloquence 甜言蜜语
blanketyblank 该死的
blanquet 布朗克梨
blastoderm 胚盘
blastomere 分裂球
blastproof 防爆炸的
blatancy 喧哗
bleak 寒冷的
blear 模糊
bled 流血
blendword 混合词
blenny 粘鱼
blessed 受祝福的
blessedness 幸福
blessing 祝福
bleuderoi 深蓝色
blighted 毁灭的
blimey 啊呀!
blinder 眼罩
blindworm 无脚蜥蜴
blissful 有福的
blister 水泡
blizzard 大风雪
bloater 腌熏鲱鱼
bloodbath 大屠杀
bloodguilty 杀人的
bloodletting 放血
bloodlust 杀戮欲
bloodshed 流血
bloodstain 血迹
bloodworm 红蚯蚓
blooey 故障的
bloomers 灯笼裤
blooming 盛开的
blossomy 花盛开的
blowball 絮球
blowmobile 雪撬
blowpipe 吹风管
bludgeon 大头棒
bluebell 野风信子
bluefin 金枪鱼
blueing 带青色的
blueish 带青色的
bluejacket 水兵
bluish 带蓝色的
boanerges 传教士
boardinghouse 寄宿公寓
boaster 自夸的人
boating 划船
boatman 船夫
boatmanship 操船技术
boatswain 水手长
boblet 双人雪橇
bobsled 长橇
bobsleigh 长橇
bobstay 斜桅支索
bodhisattva 菩萨
boggy 沼泽多的
bohr 波尔
boilerplate 样板文件
bolection 凸嵌线
boll 圆荚
bolwtorch 乙炔吹嘴
bombinate 发嗡嗡声
bomblet 小炸弹
bombsite 被炸区域
bombycid 蛾的一种
bonanzagram 填充游戏
bondmaid 女奴隶
bondman 奴隶
bondservice 奴役
bondsman 奴隶
bondwoman 女奴隶
boneblack 骨黑
bonehead 笨蛋
bonesetting 接骨术
bonism 世善说
bonito 鲣
bonnie 漂亮的
boodler 受贿者
bookbinder 装订商
bookbinding 装订
bookkeeper 簿记员
bookkeeping 簿记
booklet 小册子
booklore 书本知识
bookmark 书签
bookmarker 书签
bookplate 藏书标签
bookrest 阅书架
bookseller 书商
bookselling 书籍贩卖
bookshelf 书架
bookshop 书店
bookstack 书架
bookstall 书报摊
bookstore 书店
boomtown 新兴都市
boost 推进
bootblack 擦鞋童
booted 穿靴的
bootery 鞋靴店
bootjack 脱靴器
bootlace 鞋带
bootprint 靴印
boots 擦靴人
bootstrap 解靴带
borated 搀硼酸的
borax 硼砂
bordello 妓院
borderer 边境居民
borderline 边界线
boreal 北的
bored 无聊的
boredom 厌倦
borehole 地上凿洞
boresome 烦人的
boric 硼的
boride 硼化物
boron [化]硼
borrowing 借款
borzoi 俄国狼狗
botanically 植物学地
botanist 植物学家
botany 植物学
botch 修补
bottled 瓶装的
bottleful 一瓶之量
bottleneck 瓶颈
boulangerite 硫锑铅矿
boult 筛子
boulter 粗长钓丝
bounden 有责任的
bountifully 慷慨地
bouquet 花束
bourgeoisie 资产阶级
bourse 交易所
bovid 牛科的
bowdlerism 任意删除
bower 凉亭
bowing 运弓法
bowknot 蝴蝶结
bowlegged 弯脚的
bowlful 一满碗
bowline 帆脚索
bowling 保龄球
bowls 保龄球
bowsprit 船首斜桅
boxcar 货车车厢
boxer 拳师
boxful 一箱的
boxing 拳击
boxtree 黄杨树
boyhood 少年时代
bracelet 手镯
braceleted 戴手镯的
brachycephalic 短头颅的
braciola 酒烩肉卷
braciole 酒烩肉卷
bracken 欧洲蕨
bracteate 有苞的
brad 曲头钉
bradawl 小锥
bragger 吹牛
brahmanism 婆罗门教
brahminism 婆罗门教
brain 脑头脑
brainfag 脑疲劳
brainman 参谋
brainpan 头盖
brainteaser 难题谜
brainwashing 洗脑
brainwork 脑力劳动
braise 炖蒸
braize 炖蒸
brakesman 轫手
bran 糠麸
branchia 鳃
branchiae 鳃
branchiate 有鳃的
brant 黑雁
brassard 臂章
brasserie 啤酒店
brassfounder 黄铜铸工
brassfounding 黄铜铸造
brassiere 奶罩
brave 勇敢的
bravely 勇敢地
braver 勇敢的
bravery 勇敢
bravest 勇敢的
braxy 羊炭疽
brazenfaced 厚脸皮的
brazenly 厚脸皮地
brazil 巴西
brazilwood 苏木
breadthways 横地
breadthwise 横向地
breaker 断路器
breakthrough 突破
breakwind 防风林
breastbone 胸骨
breaststroke 蛙式
breathalyse 呼吸试验
bree 清汤
breech 臀部
breechless 无后膛的
breezeless 无风的
brekker 早餐
brer 兄弟
brevier 八点活字
breviped 有矮脚的
brewage 调制
brewery 酿酒厂
brewing 酿造
brewster 酿造者
bribee 受贿者
briber 行贿者
brickearth 制砖粘土
brickkiln 砖窑
bricklayer 砖匠
brickmaker 制砖工人
brickmaking 制砖业
brickwork 砌砖
bricky 砖的
brickyard 砖厂
bride 新娘
bridecake 结婚蛋糕
bridegroom 新郎
bridesmaid 女傧相
bridesman 男傧相
bridgeable 可架桥的
bridgeward 看桥者
briefing 简报
brigade 旅队
brightly 明亮地
brightsome 明亮的
brimfull 盈满的
brimming 满溢的
brimmy 有宽边的
brimstone 硫黄
brine 盐水
brinjaul 茄子
brinkmanship 边缘政策
bristling 竖立的
britain 英国
britainic 英国的
britisher 英国人
broadax 大斧钺
broadcasting 广播
broadish 稍宽阔的
broccoli 椰菜
brochure 小册子
brocoli 椰菜
broider 刺绣
bromine [化]溴
bronzesmith 青铜匠
bronzing 烫金
broodmare 传种母马
broomstick 帚柄
brose 麦片汤
broth 肉汤
brothel 妓院
brother 兄弟
brownette 棕发女人
brownish 呈褐色的
brownness 褐色
bruit 散播
brume 雾霭
brummie 伯明翰人
brunch 早午餐
brushhook 钩镰
brushup 擦打扮
brushwood 矮灌木丛
bubby 乳房
buccaneerish 海盗似的
buckeen 破落贵族
buckhorn 鹿角
buckjump 腾跃
buckled 有扣的
buddha 佛
buddhism 佛教
budge 移动
budgerigar 相思鹦鹉
budgetary 预算的
budgeteering 预算制订
buffoon 小丑
bugaboo 鬼怪
bughunter 昆虫学者
bugler 喇叭手
buhl 镶嵌细工
bulbar 球根的
bulbiferous 生球根的
bulbiform 球状的
bulbul 夜莺
bulger 凸面木杆
bulginess 凸面木杆
bulimia 易饿病
bullbaiting 逗牛游戏
bulldozer 推土机
bullet 子弹
bulletproof 防弹的
bullnecked 粗颈的
bullring 斗牛场
bullshit 胡说
bulltrout 鳟鱼
bumbershoot 雨伞
bumpily 扑通
bumpiness 崎岖不平
bunchberry 御膳桔
bunghole 桶孔
bungle 办糟
burbot 淡水鳕
burglar 夜贼
burglary 入室行窃
burgle 偷窃
burgrave 贵族
burial 埋葬
burier 埋葬者
burin 冰凿
burke 避免
burliness 结实
burnt 燃烧
bursarial 会计员的
bursiform 囊形的
burying 埋埋葬
buses 公共汽车
bushbuck 羚羊
bushhammer 石工锤
bushiness 灌木丛生
busier 比较忙碌
busiest 最忙的
busily 忙碌地
businessman 商人
businessmen 生意人
bustle 匆匆忙忙
busywork 作业
butadiene 丁二烯
butane 丁烷
butte 孤立的丘
butterfish 溜滑的鱼
butterine 人造奶油
buttocks 臀部
buttonhole 钮扣孔
buttstock 枪托
buyable 可买的
byland 半岛
bypast 过去的
bypath 小路
byplot 旁节
byproduct 副产品
byre 牛栏
bywalk 僻径
byway 小道
byzantium 拜占庭
caac 中国民航
cabbagehead 笨蛋
cabernet 红葡萄酒
cablese 电报略语
cableway 空中索道
cabotin 二流演员
cabriolet 蓬式汽车
cachalot 抹香鲸
cachot 地牢
cacodemon 恶魔
cacodorous 有恶臭的
cacoepy 发音不准
cadastration 地籍测量
cadastre 地籍簿
caddoan 喀多语
cadential 节奏的
cadi 下级法官
cadmiferous 含镉的
cadmium [化]镉
cady 便帽
caecal 盲肠的
caeciform 盲肠形的
caecitis 盲肠炎
caecum 盲肠
caelum 雕具星座
caesious 青灰色的
caesium [化]铯
cafeteria 自助餐厅
caffeic 咖啡的
cageling 笼中鸟
caiman 凯门鳄
caiquejee 浆手
cajon 狭谷
cake 蛋糕
calamander 柿木
calamary 枪乌贼
calamite 芦木
calcaneal 脚后跟的
calciferol 钙化醇
calcification 石灰化
calciform 石灰状的
calcination 煅烧
calcinator 锻烧器
calculability 可计算
calculagraph 计时器
calculated 计算出的
calculatedly 故意地
calculational 计算的
calescence 渐增温
calibrate 校准
calibre 口径
calicle 小杯状体
caliduct 暖气管
caliology 鸟巢学
callboard 通告板
callee 被召者
calligrapher 书法家
calligraphist 书法家
calligraphy 书法
calls 调用
calmbelt 无风带
calorie 卡路里
calorifacient 发热的
calorific 生热的
calorifics 热学
calorify 加热于
calorimeter 热量计
calorimetrist 量热学家
calorimetry 热量测定
calvarium 颅盖
calvities 秃头
calvous 光头的
calyciform 萼状的
camail 盔甲披肩
cambric 细薄布
camelry 骆驼骑兵
camera 照相机
cameralistics 财政学
camik 海狗皮靴
camisa 女用衬衫
camleteen 仿驼毛呢
camomile 甘菊
campagna 平原
campanero 钟鸟
campaniform 钟形的
campcraft 露营术
camper 露营者
camphire 指甲花
camphol 龙脑
campimeter 视野计
campstool 轻便折凳
camwood 紫木
canada 加拿大
canaled 有运河的
canaliculate 有细管的
cancellation 取消
cancer 癌毒瘤
cancered 患癌症的
cancerization 癌化
cancerogenic 导致癌的
cancerology 癌学
cancerophobia 恐癌症
cancerous 癌的
cancrivorous 食蟹的
candescence 白热
candescent 白热的
candleholder 烛台
candlepower 烛光
candler 烛台
candlestand 烛台架
candlewick 烛芯
canella 白桂皮
canescent 变灰白的
canework 藤品
canful 满罐
caning 鞭打
caniniform 犬齿状的
canis 犬属
cankerroot 三叶黄莲
cankerworm 尺蠖
cannabic 大麻的
cannery 罐头工厂
canning 罐头制造
cannonball 炮弹
cannonproof 防弹的
cannot 不能
cannula 套管
canonical 规范的
cantalever 悬臂
canterbury 坎特伯雷
canzone 合组歌
capably 能干地
cape 海角岬
capias 拘票
capitalism 资本主义
capnomancy 用烟占卜
caponize 阉鸡
cappie 小酒杯
capric 公山羊的
capriform 如山羊的
caprine 公山羊的
capsicum 辣椒
capsid 衣壳
capsizal 倾覆
captainless 无首领的
captress 女捕快
capuche 尖顶风帽
caput 头首
carabao 水牛
carabin 卡宾枪
carabine 卡宾枪
carabineer 卡宾枪手
carabinier 卡宾枪手
carafe 玻璃水瓶
carapace 甲壳壳
caraway 香菜
carbamidine [化]胍
carbanion 负碳离子
carbarn 车库
carbineer 卡宾枪手
carbolic 碳的
carbonado 黑金刚石
carboxyl 羧基
carburization 渗碳
carcinectomy 癌切除术
carcinogen 致癌物质
carcinosarcoma 癌肉瘤
cardboard 纸板
cardcase 名片盒
cardfile 卡片盒
cardinality 集的势
cardiogram 心电图
carditis 心脏炎
cardplayer 玩牌的人
cardroom 桥牌室
carex 苔属植物
carful 一车之量
cargoboat 货船
caribbean 加勒比海
cariogenic 生龋齿的
cariosity 龋蛀牙
cariostatic 止龋的
caritas 博爱
caritative 博爱的
carlet 三面锉
carloadings 装车数
carnalize 好色
carnassial 食肉的
carniferous 生肉的
carnification 肉质化
carnivorous 食肉类的
carnose 肉的
carouse 狂欢作乐
carpenter 木匠
carpentry 木工工作
carpet 地毯
carpetweed 粟米草
carphology 摹空
carpogonial 果胞的
carpogonium 果胞
carpolite 石子
carretela 一种马车
carriable 可携带的
carrot 胡萝卜
carrottop 红发的人
carsick 晕车的
carsickness 晕车
cartful 一车
cartography 绘图法
cartomancy 纸牌卜卦
cartoonist 漫画家
cartridge 弹药筒
cartwright 车匠
carved 有雕刻的
carvel 轻快帆船
carven 雕刻的
casa 房屋
caseophile 嗜干酪者
caseous 干酪似的
cases 案例
cashbook 现金簿
casita 小屋
casque 盔
cassareep 木薯浓汁
cassava 木薯
cassimere 薄毛呢
castaneous 栗色的
castelet 小城堡
castigate 严惩
castle 城堡
castration 阉割
castte 城堡
casualty 伤亡
casus 案例
cataclasm 碎裂
catacoustics 回音学
catagenesis 退化
catalogue 目录
catalysis 催化作用
catalyst 催化剂
catamnesis 诊后病历
cataphonic 回音学的
cataphonics 回音学
cataphoresis 电透法
cataphoric 电泳的
cataplasm 糊剂
catarrhine 狭鼻猿
catatonia 紧张症
catboat 独桅艇
catenarian 链状的
catenation 连锁
catenulate 链状的
caterpillar 毛虫
catfish 鲶鱼
cathead 船首锚架
cathedral 大教堂
cathexis 全神贯注
cathodal 阴极的
cathode 阴极
cathouse 妓院
catlap 稀薄饮料
catnip 猫薄荷
catoptric 反射的
catoptrics 反射光学
catskin 猫皮
cattleya 洋兰
caucasia 高加索
caudad 近尾部
caudiform 尾状的
caulocaline 成茎素
causality 因果关系
causally 有原因地
cautionary 警戒的
cautiously 慎重地
cavalcade 队伍
cavalry 骑兵
cavernous 似巨穴的
caviar 鱼子酱
caviare 鱼子酱
cavitation 气穴现象
cavort 腾跃
cayenne 辣椒
cdrom 只读光盘
ceanothus 鼠李
cebuan 宿务的
cecal 盲肠的
cecum 盲肠
cedar 雪松
cede 放弃
ceder 转让人
cedilla 变音符号
celaeno 昴星团
celandine 白屈菜
celebrated 著名的
celebrator 祝贺的人
celeriac 块根芹
celestial 天上的
celestite 天青石
celibacy 独身生活
cellaret 酒橱
cello 大提琴
cellophane 玻璃纸
cellule 小细胞
celluloid 赛璐珞
cellulose 纤维素
celsius 摄氏的
celticize 凯尔特化
celtuce 一种青菜
cemental 白垩质的
cementation 粘固
cenobite 修道士
censer 香炉
censorate 检查机构
census 人口普查
centaury 矢车菊
centesis 穿刺术
centiare 平方米
centigram 厘克
centiliter 厘升
centimeter 厘米
centimillionaire 亿万富翁
centipede 蜈蚣
centreless 无中心的
centrifugal 离心的
centripetalism 向心性
centroid 质心
centum 百
cephalad 向头部地
cephalated 有头的
cephalothorax 头胸部
cephalous 有头的
cerastium 耳草属
cercus 尾毛
cerebellar 小脑的
cerebellum 小脑
cerebric 脑的
cerebritis 大脑炎
cerebrospinal 脑脊髓的
cerebrum 大脑
ceremoniously 隆重地
ceriferous 产蜡的
cerium [化]铈
certification 证明
certified 被鉴定的
certifier 证明者
certosina 镶嵌术
cerusite 白铅矿
cervicitis 子宫颈炎
cesium [化]铯
cespitose 丛生的
cessation 停止
cesspit 污水坑
cetaceum 鲸脑
cete 一群獾
cetological 鲸类学的
cetologist 鲸类学者
cetology 鲸类学
cevitamic 维生素C
chackle 喋喋不休
chaeta 刺刚毛
chagatai 查加台语
chainbridge 铁链吊桥
chainlet 小链
chainstitch 链形缝
chairperson 主席
chalaza 系带
chalcopyrite 黄铜矿
chaldean 占星术的
chaldee 占星术的
chaldron 煤量名
chalkboard 黑板
chalky 白垩的
challenger 挑战者
chambezi 赞比及河
chameleon 变色龙
champaign 原野
champertor 助讼者
champerty 帮诉
championship 锦标赛
chancel 高坛
chancellery 大臣
changeable 可改变的
changemaker 换零钱机
changkiang 长江
chansonnier 歌手
chant 圣歌
chanticleer 公鸡
chantress 女吟唱者
chanty 船歌
chaparejos 皮裤
chapatty 薄煎饼
chapeau 帽子
chapelgoer 非国教徒
chaperonage 伴随
chapfallen 沮丧的
chapiter 柱头
chappy 家伙
chapstick 无色唇膏
char 烧焦
charbroil 用炭烧烤
charcoal 木炭
chariot 战车
charitarian 慈善家
charity 慈善
charlatan 吹牛者
charman 工友仆役
charr 嘉鱼
chartered 受特许的
chasmy 裂口多的
chassis 底盘
chasten 磨炼
chastisement 惩罚
chateau 城堡
chateaubriand 烤大牛排
chatelet 小城堡
chatterer 饶舌的人
chazan 独唱者
cheaply 便宜地
cheapness 廉价
cheaters 眼镜
checkbook 支票簿
checkered 多变的
checkgate 堰门
checkman 查票人
checktaker 收票员
cheekily 厚脸皮地
cheekiness 厚脸皮
cheekybone 颊骨
cheerless 不快活的
cheery 愉快的
chef 厨师
chekiang 浙江
cheloid 蟹状肿
chemiculture 水栽法
chemisette 紧胸内衣
chemism 化学机制
chemistry 化学
chemitype 化学制版
chemoreception 化学感应
chemoreceptivity 化学感应
chemosphere 光化层
chemosynthesis 化学合成
chemotherapy 化学疗法
chemotropically 向药性地
chengteh 承德
chengtu 成都
cheongsam 旗袍
cheque 支票
chequebook 支票簿
cherrywood 樱桃木
chersonese 半岛
chervil 山萝卜
chess 国际象棋
chessboard 棋盘
chessman 棋子
chessylite 蓝铜矿
chestnut 栗子
chestnutting 拾栗子
chevy 追逐
chiasma 交叉
chiasmus 交错法
chiastic 交错法的
chiastolite 空晶石
chiaus 使者
chicagoan 芝加哥人
chickenhearted 胆小的
chickenlivered 胆小的
chickweed 繁缕
chicory 菊苣
chifforobe 衣橱柜
chignon 假髻
chilblain 冻疮
childbearing 分娩
childbirth 分娩
childhood 孩童时期
childie 小孩儿
childing 怀孕的
childless 无儿女的
childrenese 儿语
chili 红辣椒
chiliad 一千年
chiliast 信徒
chilli 红辣椒
chillily 冷漠地
chillsome 寒冷的
chilly 寒冷的
chimb 凸边沟
chimerical 空想的
chinaware 陶瓷器
chincherinchee 球根植物
chinchilla 南美栗鼠
chinela 拖鞋
chiphead 计算机迷
chippewa 齐佩瓦族
chirographer 书法家
chirology 手之研究
chiromancer 手相家
chiromancy 手相术
chironomid 摇蚊
chiroptera 翼手目
chirurgeon 外科医生
chirurgery 外科
chiseler 凿工
chitinous 壳质的
chitter 啾啾而鸣
chiv 匕首刀
chive 细香葱
chlorin [化]氯
chlorine [化]氯
chlorinity 氯含氯
chloroacetic 氯乙酸的
chlorodyne 利眠宁
chloroethylene 氯乙烯
chlorometer 氯量计
chloromethane 氯甲
chlorospinel 绿尖晶石
chlortetracycline 氯四环素
choanocyte 环细胞
cholecyst 胆囊
cholelith 胆石
choleric 易怒的
cholerine 轻症霍乱
cholesterin 胆固醇
cholesterol 胆固醇
cholic 胆汁的
chondral 软骨的
chondrification 软骨化
chondrocranium 软骨性颅
choochoo 火车
chook 鸡
choora 单刃匕首
chophouse 小餐馆
chopine 高底鞋
chopper 断路器
chopsticks 筷子
choral 合唱队的
chorale 赞美诗
chorally 合唱地
chorda 索腱
chordophone 弦乐器
chore 家务杂事
choreatic 舞蹈症的
choreodrama 舞蹈剧
choreographer 舞蹈指导
choreopoem 配舞诗剧
chorist 合唱队员
chorogophic 地方志的
choucroute 泡菜
chowry 蝇拂
chrematistics 理财学
chrismal 圣油的
christen 命名为
christening 洗礼仪式
christianity 基督教
christolatry 崇拜基督
christology 基督论
chromate 铬酸盐
chromatic 彩色的
chromaticity 染色性
chromatist 色彩学家
chromatograph 套色复制
chromhidrosis 色汗症
chromium 铬
chromophotograph 彩色照片
chromosphere 色球
chronologist 年代学者
chronometer 记时计
chrysalides 蛹
chrysanthemum 菊花
chrysoberyl 金绿玉
chrysolite 贵橄榄石
chrysoprase 绿玉髓
chub 白鲑
chuckwalla 大型蜥蜴
churchlike 像教堂的
chutist 跳伞者
chutty 口香糖
chymic 化学的
chymist 化学
chymistry 化学
cicada 蝉
cider 苹果酒
ciderkin 淡苹果汁
ciel 天蓝色
cienaga 沼泽
cigala 蝉
cigar 雪茄
cilantro 芫荽叶
ciliated 有纤毛的
cinefilm 电影胶片
cinematics 电影艺术
cinematize 摄成电影
cinematography 电影术
cineprojector 放映机
cinnamic 苯乙烯的
cinque 五五点
cipher 密码
circinate 漩涡状的
circlet 小圈
circlewise 环形地
circularity 环状
circulator 循环器
circulatory 循环的
circumferential 圆周的
circumflex 抑扬符号
circumgyrate 旋转
circumjacent 周围的
circumlittoral 沿海的
circumnavigate 环航
circumnutation 回旋运动
circumrotatory 旋转的
circumscription 界限
circumvolve 旋转
circunglibal 环地的
cisborder 境内的
ciseleur 镂刻者
citable 可引用的
citation 引用
citify 使都市化
citizeness 女性市民
citizenhood 公民身份
citrate 柠檬酸盐
citriculture 柑橘栽培
cityscape 都市风景
civics 公民
civilizable 可教化的
cladding 覆层
claimable 可要求的
clairvoyante 女千里眼
clandestine 秘密的
clapnet 陷网
clapper 铃舌
clarifier 澄清器
clarinetist 吹木箫者
clarion 号角
classable 可分类的
classfellow 同班同学
classifiable 可分类的
classless 无阶级的
classmate 同班同学
classroom 教室
claudication 跛行
clava 棒状体
claval 棒状体的
clavicembalo 大键琴
claviform 棒状的
clayware 黏土制品
cleanbred 纯种的
cleaners 洗衣店
cleanhanded 清廉的
cleanish 颇清洁的
cleanse 纯净
clearance 清除
cleared 清除的
clearer 更清楚的
clearing 空旷地
clearway 超速道路
cleat 夹板
cleavable 劈得开的
clef 音部记号
cleithral 有屋顶的
clidomancy 钥匙占卜
clientage 委托关系
cliffy 陡峭的
climatic 气候上的
climograph 气象图
clinandrium 花粉囊
clinoscope 旋斜视计
clipbook 剪贴本
cliquish 小集团的
clithral 有屋顶的
clochard 钟楼
clock 时钟
clockface 钟面
clocking 孵蛋的
clockwork 时钟机构
clogger 木屐匠
clomp 重踏着走
clonic 阵挛的
closely 接近地
closer 靠近的
closest 最靠近的
closestool 马桶
clothback 布面书
clothesbrush 衣刷
clotheshorse 晒衣架
clothesline 晒衣绳
clothesman 旧衣商
clothespole 晒衣柱
clothespress 衣橱
clothing 衣服
clotted 凝结的
cloudage 云量
cloudless 无云的
cloudling 小云
cloudwards 朝着云地
clownish 滑稽的
clubbed 棒状的
clubfoot 畸形足
clue 线索
clumsy 笨拙的
clunch 粘土
clupeoid 鲱鱼
clutter 混乱
coachman 马车夫
coact 共同合作
coactivated 共激活的
coadjust 相互调节
coadjustment 相互调节
coagulable 可凝结的
coalesce 接合
coalfield 煤田
coalize 加入联盟
coastline 海岸线
coatrack 衣帽架
coaxal 共轴的
cobaltiferous 含钴的
cobbra 头头盖
cobelligerence 战时盟国
cobelligerency 战时盟国
cobelligerent 战时盟国
coccygeal 尾骨的
cochairman 副主席
cockade 帽章
cockatiel 澳洲鹦鹉
cockbrain 浮躁的人
cocked 竖起的
cockfight 斗鸡
cockiness 骄傲自大
cockneyese 伦敦方言
cockroach 蟑螂
cockspur 鸡距
coco 椰子树
coconspirator 共谋者
coconut 椰子
cocoon 茧
cocoonery 养蚕所
cocurriculum 辅助课程
codebreaker 电码译员
codefendant 共同被告
codetermine 共同决定
codetta 小尾声
codfish 鳕
codicology 手稿学
coding 译码
coeditor 共编者
coeducation 男女同校
coehorn 掷弹筒
coelom 体腔
coelomatic 有体腔的
coenobite 修道士
coequally 平等地
coercing 强迫
coessential 同素的
coetaneous 同时代的
coevality 同时代
coexist 共存
coexistence 共存
cofacter 余因子
coffeepot 咖啡壶
coffer 保险箱
cofferdam 围堰
coffin 棺材
cognition 认识
cognizant 认知的
cohabitant 同居者
coherence 一致
cohesive 粘着的
cohobate 再蒸馏
cohorts 军团
coil 盘绕卷
coindication 征兆之一
coinheritance 共同继承
coinstantaneity 共同继承
coinsurance 共同保险
coital 性交的
cokernut 椰子
colaborer 劳工同事
colatitude 余纬度
coldish 微冷的
coldly 冷淡地
coleseed 油菜子
colessee 共租人
collaborator 合作者
collagen 胶原质
collarband 领子
collate 比较
collateral 间接的
collator 校对机
collectivism 集体主义
collectivization 集体化
collectress 女收藏家
collegiality 共同掌权
collegiate 学院的
colleging 大学教育
collenchyma 厚角组织
colliery 煤矿
collimate 校准
collimation 瞄准
collimator 瞄准仪
colloblast 粘细胞
collocate 配置
colloquialist 谈话者
colloquium 讨论会
collusive 共谋的
collutory 漱口剂
colluvial 塌积的
collyrium 洗眼剂
colon 冒号
colonialism 殖民主义
colonic 结肠的
colonnade 柱廊
colorant 着色剂
colorblind 色盲的
colorfast 不褪色的
colorimetry 比色法
colorized 彩色的
colorplate 彩色版
colorway 色彩设计
coltsfoot 款冬
columbary 鸽棚
columbia 哥伦比亚
columbium [化]铌
columniform 圆柱形的
columnist 专栏作家
coma 昏迷
combinatorial 组合的
combustible 易燃的
combustion 燃烧
comedian 喜剧演员
comedic 喜剧的
comedietta 小喜剧
comedist 喜剧作家
comet 彗星
comfily 舒服地
comfortable 舒适的
commandable 可指挥的
commandant 司令官
commandment 戒律
commandress 女司令员
commemorate 纪念
commemorative 纪念的
commensalism 共栖
commenter 批评家
commerce 商业
commie 共产党员
comminatory 威吓的
commingle 混合
comminution 粉碎
commiseration 同情
commissural 合缝处的
commissure 接合处
committee 委员会
committeeman 委员
committeewoman 女委员
commix 混合
commixture 混合
commodious 宽敞的
commodity 日用品
commonable 公有的
commonland 公共用地
commonsensible 常识的
communism 共产主义
commutability 可代替
commutable 可取代的
commutation 交换
commutative 可交换的
companionway 升降扶梯
comparator 比较仪
compart 分隔
compasses 圆规
compensability 可补偿性
compensable 可补偿的
compensator 补偿者
compensatory 补偿性的
competence 能力
competitive 竞争的
competitor 竞争者
competitory 竞争的
compilation 编辑
complanation 平面化
completeness 完全
completion 完成
complicacy 复杂性
complied 遵照
complier 依从者
complimental 恭维的
compline 晚祷
comport 相称
compossible 可共存的
comprador 买办
compreg 胶合夹板
comprehensively 包括地
compressibility 可压缩性
comptroller 审计员
computable 可计算的
computational 计算的
computus 计算
comte 伯爵
conative 意动的
concatenate 连接
concatenation 串联
concavity 凹度
conceitedly 自满地
conceiver 构想者
concelebrate 共做弥撒
concelebration 共祝圣餐
concentrator 集中器
concentric 同中心的
conceptual 概念上的
conceptualist 概念论者
conceptualize 使有概念
conceptually 概念地
